Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-g1a6,randomiser-62yd,Spreadsheet,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,Spreadsheet Name,randomise_blocks,display,randomise_trials,ImageLeft,ImageRight,ImageCentre,TextLeft,TextRight,TextCentre,Answer,OrLeft,OrRight,TextLeft1,TextRight1,TextRight2,TextLeft2,,metadata,metadata.1
110,1636988987119,15/11/2021 15:09:47,1636988986202,0,15/11/2021 15:09:46,68854,2,task-3fjs,,17165091,BLIND,5069615,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1920x1200,1920x1089,,IAT_sex_topics,3,society,,Spreadsheet1,4,1,Screen 1,Zone9,continue_keyboard,5013.5999999940395,,,0,1,0,,,,Spreadsheet1,1,prepare1,,,,,,,,,,,,,science,humanities,16,practice_congruent,practice_congruent
111,1636988988213,15/11/2021 15:09:48,1636988987282,0,15/11/2021 15:09:47,68854,2,task-3fjs,,17165091,BLIND,5069615,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1920x1200,1920x1089,,IAT_sex_topics,3,society,,Spreadsheet1,49,1,Screen 1,Zone9,response_keyboard,1071,left,1,1,0,0,,,,Spreadsheet1,1,trials,2,,,,,,Music,left,,,,,science,humanities,30,practice_congruent,practice_congruent
112,1636988989110,15/11/2021 15:09:49,1636988987968,0,15/11/2021 15:09:47,68854,2,task-3fjs,,17165091,BLIND,5069615,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1920x1200,1920x1089,,IAT_sex_topics,3,society,,Spreadsheet1,49,2,Screen 2,fixation,fixation,700.56700000001,,,0,1,0,,,,Spreadsheet1,1,trials,2,,,,,,Music,left,,,,,science,humanities,30,practice_congruent,practice_congruent
113,1636988989594,15/11/2021 15:09:49,1636988988706,0,15/11/2021 15:09:48,68854,2,task-3fjs,,17165091,BLIND,5069615,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1920x1200,1920x1089,,IAT_sex_topics,3,society,,Spreadsheet1,50,1,Screen 1,Zone9,response_keyboard,725.5,right,1,1,0,0,,,,Spreadsheet1,1,trials,2,,,,,,Physics,right,,,,,science,humanities,18,practice_congruent,practice_congruent
114,1636988990625,15/11/2021 15:09:50,1636988989403,0,15/11/2021 15:09:49,68854,2,task-3fjs,,17165091,BLIND,5069615,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1920x1200,1920x1089,,IAT_sex_topics,3,society,,Spreadsheet1,50,2,Screen 2,fixation,fixation,700.5489999999991,,,0,1,0,,,,Spreadsheet1,1,trials,2,,,,,,Physics,right,,,,,science,humanities,18,practice_congruent,practice_congruent
115,1636988990907,15/11/2021 15:09:50,1636988990017,0,15/11/2021 15:09:50,68854,2,task-3fjs,,17165091,BLIND,5069615,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1920x1200,1920x1089,,IAT_sex_topics,3,society,,Spreadsheet1,51,1,Screen 1,Zone9,response_keyboard,606.0999999940395,left,1,1,0,0,,,,Spreadsheet1,1,trials,2,,,,,,Literature,left,,,,,science,humanities,28,practice_congruent,practice_congruent
116,1636988991594,15/11/2021 15:09:51,1636988990704,0,15/11/2021 15:09:50,68854,2,task-3fjs,,17165091,BLIND,5069615,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1920x1200,1920x1089,,IAT_sex_topics,3,society,,Spreadsheet1,51,2,Screen 2,fixation,fixation,700.55799999999,,,0,1,0,,,,Spreadsheet1,1,trials,2,,,,,,Literature,left,,,,,science,humanities,28,practice_congruent,practice_congruent
117,1636988992258,15/11/2021 15:09:52,1636988991298,0,15/11/2021 15:09:51,68854,2,task-3fjs,,17165091,BLIND,5069615,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1920x1200,1920x1089,,IAT_sex_topics,3,society,,Spreadsheet1,52,1,Screen 1,Zone9,response_keyboard,585.1999999880791,right,1,1,0,0,,,,Spreadsheet1,1,trials,2,,,,,,Math,right,,,,,science,humanities,20,practice_congruent,practice_congruent
118,1636988992938,15/11/2021 15:09:52,1636988991988,0,15/11/2021 15:09:51,68854,2,task-3fjs,,17165091,BLIND,5069615,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1920x1200,1920x1089,,IAT_sex_topics,3,society,,Spreadsheet1,52,2,Screen 2,fixation,fixation,700.5510000000068,,,0,1,0,,,,Spreadsheet1,1,trials,2,,,,,,Math,right,,,,,science,humanities,20,practice_congruent,practice_congruent
119,1636988993645,15/11/2021 15:09:53,1636988992730,0,15/11/2021 15:09:52,68854,2,task-3fjs,,17165091,BLIND,5069615,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1920x1200,1920x1089,,IAT_sex_topics,3,society,,Spreadsheet1,53,1,Screen 1,Zone9,response_keyboard,732.5,left,1,1,0,0,,,,Spreadsheet1,1,trials,2,,,,,,Arts,left,,,,,science,humanities,27,practice_congruent,practice_congruent
120,1636988994360,15/11/2021 15:09:54,1636988993423,0,15/11/2021 15:09:53,68854,2,task-3fjs,,17165091,BLIND,5069615,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1920x1200,1920x1089,,IAT_sex_topics,3,society,,Spreadsheet1,53,2,Screen 2,fixation,fixation,700.5339999999851,,,0,1,0,,,,Spreadsheet1,1,trials,2,,,,,,Arts,left,,,,,science,humanities,27,practice_congruent,practice_congruent
121,1636988995348,15/11/2021 15:09:55,1636988994450,0,15/11/2021 15:09:54,68854,2,task-3fjs,,17165091,BLIND,5069615,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1920x1200,1920x1089,,IAT_sex_topics,3,society,,Spreadsheet1,54,1,Screen 1,Zone9,response_keyboard,1018.4000000059605,right,1,1,0,0,,,,Spreadsheet1,1,trials,2,,,,,,Astronomy,right,,,,,science,humanities,22,practice_congruent,practice_congruent
122,1636988996080,15/11/2021 15:09:56,1636988995141,0,15/11/2021 15:09:55,68854,2,task-3fjs,,17165091,BLIND,5069615,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1920x1200,1920x1089,,IAT_sex_topics,3,society,,Spreadsheet1,54,2,Screen 2,fixation,fixation,700.5660000000207,,,0,1,0,,,,Spreadsheet1,1,trials,2,,,,,,Astronomy,right,,,,,science,humanities,22,practice_congruent,practice_congruent
123,1636988996836,15/11/2021 15:09:56,1636988995914,0,15/11/2021 15:09:55,68854,2,task-3fjs,,17165091,BLIND,5069615,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1920x1200,1920x1089,,IAT_sex_topics,3,society,,Spreadsheet1,55,1,Screen 1,Zone9,response_keyboard,765.3000000119209,right,1,1,0,0,,,,Spreadsheet1,1,trials,2,,,,,,Biology,right,,,,,science,humanities,17,practice_congruent,practice_congruent
124,1636988997517,15/11/2021 15:09:57,1636988996609,0,15/11/2021 15:09:56,68854,2,task-3fjs,,17165091,BLIND,5069615,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1920x1200,1920x1089,,IAT_sex_topics,3,society,,Spreadsheet1,55,2,Screen 2,fixation,fixation,700.4099999999744,,,0,1,0,,,,Spreadsheet1,1,trials,2,,,,,,Biology,right,,,,,science,humanities,17,practice_congruent,practice_congruent
125,1636988998252,15/11/2021 15:09:58,1636988997250,0,15/11/2021 15:09:57,68854,2,task-3fjs,,17165091,BLIND,5069615,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1920x1200,1920x1089,,IAT_sex_topics,3,society,,Spreadsheet1,56,1,Screen 1,Zone9,response_keyboard,632.9000000059605,right,1,1,0,0,,,,Spreadsheet1,1,trials,2,,,,,,Chemistry,right,,,,,science,humanities,19,practice_congruent,practice_congruent
126,1636988998955,15/11/2021 15:09:58,1636988997943,0,15/11/2021 15:09:57,68854,2,task-3fjs,,17165091,BLIND,5069615,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1920x1200,1920x1089,,IAT_sex_topics,3,society,,Spreadsheet1,56,2,Screen 2,fixation,fixation,700.5569999999716,,,0,1,0,,,,Spreadsheet1,1,trials,2,,,,,,Chemistry,right,,,,,science,humanities,19,practice_congruent,practice_congruent
127,1636988999420,15/11/2021 15:09:59,1636988998513,0,15/11/2021 15:09:58,68854,2,task-3fjs,,17165091,BLIND,5069615,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1920x1200,1920x1089,,IAT_sex_topics,3,society,,Spreadsheet1,57,1,Screen 1,Zone9,response_keyboard,562.5,left,1,1,0,0,,,,Spreadsheet1,1,trials,2,,,,,,English,left,,,,,science,humanities,29,practice_congruent,practice_congruent
128,1636989000127,15/11/2021 15:10:00,1636988999211,0,15/11/2021 15:09:59,68854,2,task-3fjs,,17165091,BLIND,5069615,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1920x1200,1920x1089,,IAT_sex_topics,3,society,,Spreadsheet1,57,2,Screen 2,fixation,fixation,700.7259999999951,,,0,1,0,,,,Spreadsheet1,1,trials,2,,,,,,English,left,,,,,science,humanities,29,practice_congruent,practice_congruent
129,1636989001083,15/11/2021 15:10:01,1636989000177,0,15/11/2021 15:10:00,68854,2,task-3fjs,,17165091,BLIND,5069615,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1920x1200,1920x1089,,IAT_sex_topics,3,society,,Spreadsheet1,58,1,Screen 1,Zone9,response_keyboard,956.0999999940395,right,1,1,0,0,,,,Spreadsheet1,1,trials,2,,,,,,Engineering,right,,,,,science,humanities,23,practice_congruent,practice_congruent
130,1636989001767,15/11/2021 15:10:01,1636989000862,0,15/11/2021 15:10:00,68854,2,task-3fjs,,17165091,BLIND,5069615,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1920x1200,1920x1089,,IAT_sex_topics,3,society,,Spreadsheet1,58,2,Screen 2,fixation,fixation,700.3910000000033,,,0,1,0,,,,Spreadsheet1,1,trials,2,,,,,,Engineering,right,,,,,science,humanities,23,practice_congruent,practice_congruent
131,1636989002564,15/11/2021 15:10:02,1636989001641,0,15/11/2021 15:10:01,68854,2,task-3fjs,,17165091,BLIND,5069615,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1920x1200,1920x1089,,IAT_sex_topics,3,society,,Spreadsheet1,59,1,Screen 1,Zone9,response_keyboard,772.7999999821186,right,1,1,0,0,,,,Spreadsheet1,1,trials,2,,,,,,Geology,right,,,,,science,humanities,21,practice_congruent,practice_congruent
132,1636989003244,15/11/2021 15:10:03,1636989002330,0,15/11/2021 15:10:02,68854,2,task-3fjs,,17165091,BLIND,5069615,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1920x1200,1920x1089,,IAT_sex_topics,3,society,,Spreadsheet1,59,2,Screen 2,fixation,fixation,700.5679999999993,,,0,1,0,,,,Spreadsheet1,1,trials,2,,,,,,Geology,right,,,,,science,humanities,21,practice_congruent,practice_congruent
133,1636989003861,15/11/2021 15:10:03,1636989002921,0,15/11/2021 15:10:02,68854,2,task-3fjs,,17165091,BLIND,5069615,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1920x1200,1920x1089,,IAT_sex_topics,3,society,,Spreadsheet1,60,1,Screen 1,Zone9,response_keyboard,579.7999999821186,left,1,1,0,0,,,,Spreadsheet1,1,trials,2,,,,,,Classics,left,,,,,science,humanities,26,practice_congruent,practice_congruent
134,1636989004535,15/11/2021 15:10:04,1636989003615,0,15/11/2021 15:10:03,68854,2,task-3fjs,,17165091,BLIND,5069615,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1920x1200,1920x1089,,IAT_sex_topics,3,society,,Spreadsheet1,60,2,Screen 2,fixation,fixation,700.747000000003,,,0,1,0,,,,Spreadsheet1,1,trials,2,,,,,,Classics,left,,,,,science,humanities,26,practice_congruent,practice_congruent
135,1636989005300,15/11/2021 15:10:05,1636989004386,0,15/11/2021 15:10:04,68854,2,task-3fjs,,17165091,BLIND,5069615,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1920x1200,1920x1089,,IAT_sex_topics,3,society,,Spreadsheet1,61,1,Screen 1,Zone9,response_keyboard,762.6000000238419,left,1,1,0,0,,,,Spreadsheet1,1,trials,2,,,,,,Philosophy,left,,,,,science,humanities,25,practice_congruent,practice_congruent
136,1636989005990,15/11/2021 15:10:05,1636989005082,0,15/11/2021 15:10:05,68854,2,task-3fjs,,17165091,BLIND,5069615,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1920x1200,1920x1089,,IAT_sex_topics,3,society,,Spreadsheet1,61,2,Screen 2,fixation,fixation,700.5500000000175,,,0,1,0,,,,Spreadsheet1,1,trials,2,,,,,,Philosophy,left,,,,,science,humanities,25,practice_congruent,practice_congruent
137,1636989007207,15/11/2021 15:10:07,1636989006297,0,15/11/2021 15:10:06,68854,2,task-3fjs,,17165091,BLIND,5069615,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1920x1200,1920x1089,,IAT_sex_topics,3,society,,Spreadsheet1,62,1,Screen 1,Zone9,response_keyboard,1207.2999999821186,left,1,1,0,0,,,,Spreadsheet1,1,trials,2,,,,,,History,left,,,,,science,humanities,31,practice_congruent,practice_congruent
138,1636989007911,15/11/2021 15:10:07,1636989006984,0,15/11/2021 15:10:06,68854,2,task-3fjs,,17165091,BLIND,5069615,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1920x1200,1920x1089,,IAT_sex_topics,3,society,,Spreadsheet1,62,2,Screen 2,fixation,fixation,700.573000000004,,,0,1,0,,,,Spreadsheet1,1,trials,2,,,,,,History,left,,,,,science,humanities,31,practice_congruent,practice_congruent
139,1636989018503,15/11/2021 15:10:18,1636989017610,0,15/11/2021 15:10:17,68854,2,task-3fjs,,17165091,BLIND,5069615,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1920x1200,1920x1089,,IAT_sex_topics,3,society,,Spreadsheet1,5,1,Screen 1,Zone9,continue_keyboard,10619.699999988079,,,0,1,0,,,,Spreadsheet1,1,prepare1,,,,,,,,,or,or,female,male,science,humanities,33,congruent,congruent
140,1636989019511,15/11/2021 15:10:19,1636989018553,0,15/11/2021 15:10:18,68854,2,task-3fjs,,17165091,BLIND,5069615,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1920x1200,1920x1089,,IAT_sex_topics,3,society,,Spreadsheet1,63,1,Screen 1,Zone9,response_keyboard,935.3999999761581,left,1,1,0,0,,,,Spreadsheet1,1,trials,3,,,,,,English,left,or,or,female,male,science,humanities,58,congruent,congruent
141,1636989020159,15/11/2021 15:10:20,1636989019243,0,15/11/2021 15:10:19,68854,2,task-3fjs,,17165091,BLIND,5069615,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1920x1200,1920x1089,,IAT_sex_topics,3,society,,Spreadsheet1,63,2,Screen 2,fixation,fixation,700.5590000000084,,,0,1,0,,,,Spreadsheet1,1,trials,3,,,,,,English,left,or,or,female,male,science,humanities,58,congruent,congruent
142,1636989021104,15/11/2021 15:10:21,1636989020177,0,15/11/2021 15:10:20,68854,2,task-3fjs,,17165091,BLIND,5069615,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1920x1200,1920x1089,,IAT_sex_topics,3,society,,Spreadsheet1,64,1,Screen 1,Zone9,response_keyboard,926.5,right,1,1,0,0,,,,Spreadsheet1,1,trials,3,,,,,,Physics,right,or,or,female,male,science,humanities,47,congruent,congruent
143,1636989021807,15/11/2021 15:10:21,1636989020861,0,15/11/2021 15:10:20,68854,2,task-3fjs,,17165091,BLIND,5069615,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1920x1200,1920x1089,,IAT_sex_topics,3,society,,Spreadsheet1,64,2,Screen 2,fixation,fixation,700.7210000000196,,,0,1,0,,,,Spreadsheet1,1,trials,3,,,,,,Physics,right,or,or,female,male,science,humanities,47,congruent,congruent
144,1636989023517,15/11/2021 15:10:23,1636989022569,0,15/11/2021 15:10:22,68854,2,task-3fjs,,17165091,BLIND,5069615,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1920x1200,1920x1089,,IAT_sex_topics,3,society,,Spreadsheet1,65,1,Screen 1,Zone9,response_keyboard,1699.5,right,1,1,0,0,,,,Spreadsheet1,1,trials,3,,,,,,Geology,right,or,or,female,male,science,humanities,50,congruent,congruent
145,1636989024151,15/11/2021 15:10:24,1636989023263,0,15/11/2021 15:10:23,68854,2,task-3fjs,,17165091,BLIND,5069615,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1920x1200,1920x1089,,IAT_sex_topics,3,society,,Spreadsheet1,65,2,Screen 2,fixation,fixation,700.5460000000021,,,0,1,0,,,,Spreadsheet1,1,trials,3,,,,,,Geology,right,or,or,female,male,science,humanities,50,congruent,congruent
146,1636989024954,15/11/2021 15:10:24,1636989024073,0,15/11/2021 15:10:24,68854,2,task-3fjs,,17165091,BLIND,5069615,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1920x1200,1920x1089,,IAT_sex_topics,3,society,,Spreadsheet1,66,1,Screen 1,Zone9,response_keyboard,803.0999999940395,right,1,1,0,0,,,,Spreadsheet1,1,trials,3,,,,,,Ben,right,or,or,female,male,science,humanities,40,congruent,congruent
147,1636989025666,15/11/2021 15:10:25,1636989024765,0,15/11/2021 15:10:24,68854,2,task-3fjs,,17165091,BLIND,5069615,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1920x1200,1920x1089,,IAT_sex_topics,3,society,,Spreadsheet1,66,2,Screen 2,fixation,fixation,700.5970000000088,,,0,1,0,,,,Spreadsheet1,1,trials,3,,,,,,Ben,right,or,or,female,male,science,humanities,40,congruent,congruent
148,1636989026376,15/11/2021 15:10:26,1636989025433,0,15/11/2021 15:10:25,68854,2,task-3fjs,,17165091,BLIND,5069615,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1920x1200,1920x1089,,IAT_sex_topics,3,society,,Spreadsheet1,67,1,Screen 1,Zone9,response_keyboard,656.2999999821186,left,1,1,0,0,,,,Spreadsheet1,1,trials,3,,,,,,Arts,left,or,or,female,male,science,humanities,56,congruent,congruent
149,1636989027041,15/11/2021 15:10:27,1636989026132,0,15/11/2021 15:10:26,68854,2,task-3fjs,,17165091,BLIND,5069615,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1920x1200,1920x1089,,IAT_sex_topics,3,society,,Spreadsheet1,67,2,Screen 2,fixation,fixation,700.737999999983,,,0,1,0,,,,Spreadsheet1,1,trials,3,,,,,,Arts,left,or,or,female,male,science,humanities,56,congruent,congruent
150,1636989027954,15/11/2021 15:10:27,1636989027049,0,15/11/2021 15:10:27,68854,2,task-3fjs,,17165091,BLIND,5069615,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1920x1200,1920x1089,,IAT_sex_topics,3,society,,Spreadsheet1,68,1,Screen 1,Zone9,response_keyboard,907.5,right,1,1,0,0,,,,Spreadsheet1,1,trials,3,,,,,,Engineering,right,or,or,female,male,science,humanities,52,congruent,congruent
151,1636989028651,15/11/2021 15:10:28,1636989027734,0,15/11/2021 15:10:27,68854,2,task-3fjs,,17165091,BLIND,5069615,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1920x1200,1920x1089,,IAT_sex_topics,3,society,,Spreadsheet1,68,2,Screen 2,fixation,fixation,700.5780000000086,,,0,1,0,,,,Spreadsheet1,1,trials,3,,,,,,Engineering,right,or,or,female,male,science,humanities,52,congruent,congruent
152,1636989029552,15/11/2021 15:10:29,1636989028657,0,15/11/2021 15:10:28,68854,2,task-3fjs,,17165091,BLIND,5069615,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1920x1200,1920x1089,,IAT_sex_topics,3,society,,Spreadsheet1,69,1,Screen 1,Zone9,response_keyboard,915.6999999880791,right,1,1,0,0,,,,Spreadsheet1,1,trials,3,,,,,,Biology,right,or,or,female,male,science,humanities,46,congruent,congruent
153,1636989030265,15/11/2021 15:10:30,1636989029351,0,15/11/2021 15:10:29,68854,2,task-3fjs,,17165091,BLIND,5069615,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1920x1200,1920x1089,,IAT_sex_topics,3,society,,Spreadsheet1,69,2,Screen 2,fixation,fixation,700.5590000000084,,,0,1,0,,,,Spreadsheet1,1,trials,3,,,,,,Biology,right,or,or,female,male,science,humanities,46,congruent,congruent
154,1636989031194,15/11/2021 15:10:31,1636989030289,0,15/11/2021 15:10:30,68854,2,task-3fjs,,17165091,BLIND,5069615,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1920x1200,1920x1089,,IAT_sex_topics,3,society,,Spreadsheet1,70,1,Screen 1,Zone9,response_keyboard,930.8000000119209,right,1,1,0,0,,,,Spreadsheet1,1,trials,3,,,,,,Paul,right,or,or,female,male,science,humanities,43,congruent,congruent
155,1636989031880,15/11/2021 15:10:31,1636989030986,0,15/11/2021 15:10:30,68854,2,task-3fjs,,17165091,BLIND,5069615,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1920x1200,1920x1089,,IAT_sex_topics,3,society,,Spreadsheet1,70,2,Screen 2,fixation,fixation,700.3990000000049,,,0,1,0,,,,Spreadsheet1,1,trials,3,,,,,,Paul,right,or,or,female,male,science,humanities,43,congruent,congruent
156,1636989033022,15/11/2021 15:10:33,1636989032129,0,15/11/2021 15:10:32,68854,2,task-3fjs,,17165091,BLIND,5069615,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1920x1200,1920x1089,,IAT_sex_topics,3,society,,Spreadsheet1,71,1,Screen 1,Zone9,response_keyboard,1134.5999999940395,right,1,1,0,0,,,,Spreadsheet1,1,trials,3,,,,,,Astronomy,right,or,or,female,male,science,humanities,51,congruent,congruent
157,1636989033712,15/11/2021 15:10:33,1636989032821,0,15/11/2021 15:10:32,68854,2,task-3fjs,,17165091,BLIND,5069615,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1920x1200,1920x1089,,IAT_sex_topics,3,society,,Spreadsheet1,71,2,Screen 2,fixation,fixation,700.554999999993,,,0,1,0,,,,Spreadsheet1,1,trials,3,,,,,,Astronomy,right,or,or,female,male,science,humanities,51,congruent,congruent
158,1636989034694,15/11/2021 15:10:34,1636989033641,0,15/11/2021 15:10:33,68854,2,task-3fjs,,17165091,BLIND,5069615,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1920x1200,1920x1089,,IAT_sex_topics,3,society,,Spreadsheet1,72,1,Screen 1,Zone9,response_keyboard,813.3999999761581,left,1,1,0,0,,,,Spreadsheet1,1,trials,3,,,,,,Classics,left,or,or,female,male,science,humanities,55,congruent,congruent
159,1636989035258,15/11/2021 15:10:35,1636989034339,0,15/11/2021 15:10:34,68854,2,task-3fjs,,17165091,BLIND,5069615,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1920x1200,1920x1089,,IAT_sex_topics,3,society,,Spreadsheet1,72,2,Screen 2,fixation,fixation,700.4020000000019,,,0,1,0,,,,Spreadsheet1,1,trials,3,,,,,,Classics,left,or,or,female,male,science,humanities,55,congruent,congruent
160,1636989036030,15/11/2021 15:10:36,1636989035137,0,15/11/2021 15:10:35,68854,2,task-3fjs,,17165091,BLIND,5069615,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1920x1200,1920x1089,,IAT_sex_topics,3,society,,Spreadsheet1,73,1,Screen 1,Zone9,response_keyboard,788,left,1,1,0,0,,,,Spreadsheet1,1,trials,3,,,,,,History,left,or,or,female,male,science,humanities,60,congruent,congruent
161,1636989036805,15/11/2021 15:10:36,1636989035823,0,15/11/2021 15:10:35,68854,2,task-3fjs,,17165091,BLIND,5069615,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1920x1200,1920x1089,,IAT_sex_topics,3,society,,Spreadsheet1,73,2,Screen 2,fixation,fixation,700.56700000001,,,0,1,0,,,,Spreadsheet1,1,trials,3,,,,,,History,left,or,or,female,male,science,humanities,60,congruent,congruent
162,1636989037686,15/11/2021 15:10:37,1636989036753,0,15/11/2021 15:10:36,68854,2,task-3fjs,,17165091,BLIND,5069615,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1920x1200,1920x1089,,IAT_sex_topics,3,society,,Spreadsheet1,74,1,Screen 1,Zone9,response_keyboard,920.3000000119209,left,1,1,0,0,,,,Spreadsheet1,1,trials,3,,,,,,Emily,left,or,or,female,male,science,humanities,37,congruent,congruent
163,1636989038372,15/11/2021 15:10:38,1636989037441,0,15/11/2021 15:10:37,68854,2,task-3fjs,,17165091,BLIND,5069615,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1920x1200,1920x1089,,IAT_sex_topics,3,society,,Spreadsheet1,74,2,Screen 2,fixation,fixation,700.5720000000147,,,0,1,0,,,,Spreadsheet1,1,trials,3,,,,,,Emily,left,or,or,female,male,science,humanities,37,congruent,congruent
164,1636989039575,15/11/2021 15:10:39,1636989038081,0,15/11/2021 15:10:38,68854,2,task-3fjs,,17165091,BLIND,5069615,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1920x1200,1920x1089,,IAT_sex_topics,3,society,,Spreadsheet1,75,1,Screen 1,Zone9,response_keyboard,632.5999999940395,left,1,1,0,0,,,,Spreadsheet1,1,trials,3,,,,,,Julia,left,or,or,female,male,science,humanities,34,congruent,congruent
165,1636989039686,15/11/2021 15:10:39,1636989038776,0,15/11/2021 15:10:38,68854,2,task-3fjs,,17165091,BLIND,5069615,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1920x1200,1920x1089,,IAT_sex_topics,3,society,,Spreadsheet1,75,2,Screen 2,fixation,fixation,700.5639999999839,,,0,1,0,,,,Spreadsheet1,1,trials,3,,,,,,Julia,left,or,or,female,male,science,humanities,34,congruent,congruent
166,1636989040655,15/11/2021 15:10:40,1636989039754,0,15/11/2021 15:10:39,68854,2,task-3fjs,,17165091,BLIND,5069615,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 95.0.1020.53,1920x1200,1920x1089,,IAT_sex_topics,3,society,,Spreadsheet1,76,1,Screen 1,Zone9,response_keyboard,970.4000000059605,right,1,1,0,0,,,,Spreadsheet1,1,trials,3,,,,,,Chemistry,right,or,or,female,male,science,humanities,48,congruent,congruent
