Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-g1a6,randomiser-62yd,Spreadsheet,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,Spreadsheet Name,randomise_blocks,display,randomise_trials,ImageLeft,ImageRight,ImageCentre,TextLeft,TextRight,TextCentre,Answer,OrLeft,OrRight,TextLeft1,TextRight1,TextRight2,TextLeft2,,metadata,metadata.1
23,1636833969128,13/11/2021 20:06:09,1636833969133,0,13/11/2021 20:06:09,68854,2,task-3fjs,,17134596,BLIND,5060921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1280x720,1240x553,,IAT_sex_topics,3,society,,Spreadsheet1,10,1,Screen 1,Zone9,response_keyboard,489.1000000089407,right,1,1,0,0,,,,Spreadsheet1,,trials,1,,,,,,Ben,right,,,female,male,,,10,practice_words,practice_words
24,1636833969817,13/11/2021 20:06:09,1636833969822,0,13/11/2021 20:06:09,68854,2,task-3fjs,,17134596,BLIND,5060921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1280x720,1240x553,,IAT_sex_topics,3,society,,Spreadsheet1,10,2,Screen 2,fixation,fixation,700.0199999999968,,,0,1,0,,,,Spreadsheet1,,trials,1,,,,,,Ben,right,,,female,male,,,10,practice_words,practice_words
25,1636833972689,13/11/2021 20:06:12,1636833972698,0,13/11/2021 20:06:12,68854,2,task-3fjs,,17134596,BLIND,5060921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1280x720,1240x553,,IAT_sex_topics,3,society,,Spreadsheet1,2,1,Screen 1,Zone9,continue_keyboard,2807.5,,,0,1,0,,,,Spreadsheet1,1,prepare1,,,,,,,,,,,,,science,humanities,16,practice_congruent,practice_congruent
26,1636833973785,13/11/2021 20:06:13,1636833973791,0,13/11/2021 20:06:13,68854,2,task-3fjs,,17134596,BLIND,5060921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1280x720,1240x553,,IAT_sex_topics,3,society,,Spreadsheet1,11,1,Screen 1,Zone9,response_keyboard,1030.9000000059605,left,1,1,0,0,,,,Spreadsheet1,1,trials,2,,,,,,English,left,,,,,science,humanities,29,practice_congruent,practice_congruent
27,1636833974486,13/11/2021 20:06:14,1636833974488,0,13/11/2021 20:06:14,68854,2,task-3fjs,,17134596,BLIND,5060921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1280x720,1240x553,,IAT_sex_topics,3,society,,Spreadsheet1,11,2,Screen 2,fixation,fixation,700.0020000000004,,,0,1,0,,,,Spreadsheet1,1,trials,2,,,,,,English,left,,,,,science,humanities,29,practice_congruent,practice_congruent
28,1636833975081,13/11/2021 20:06:15,1636833975090,0,13/11/2021 20:06:15,68854,2,task-3fjs,,17134596,BLIND,5060921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1280x720,1240x553,,IAT_sex_topics,3,society,,Spreadsheet1,12,1,Screen 1,Zone9,response_keyboard,552.0999999940395,right,1,1,0,0,,,,Spreadsheet1,1,trials,2,,,,,,Chemistry,right,,,,,science,humanities,19,practice_congruent,practice_congruent
29,1636833975773,13/11/2021 20:06:15,1636833975788,0,13/11/2021 20:06:15,68854,2,task-3fjs,,17134596,BLIND,5060921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1280x720,1240x553,,IAT_sex_topics,3,society,,Spreadsheet1,12,2,Screen 2,fixation,fixation,700.0790000000052,,,0,1,0,,,,Spreadsheet1,1,trials,2,,,,,,Chemistry,right,,,,,science,humanities,19,practice_congruent,practice_congruent
30,1636833976404,13/11/2021 20:06:16,1636833976415,0,13/11/2021 20:06:16,68854,2,task-3fjs,,17134596,BLIND,5060921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1280x720,1240x553,,IAT_sex_topics,3,society,,Spreadsheet1,13,1,Screen 1,Zone9,response_keyboard,574.9000000059605,right,1,1,0,0,,,,Spreadsheet1,1,trials,2,,,,,,Biology,right,,,,,science,humanities,17,practice_congruent,practice_congruent
31,1636833977093,13/11/2021 20:06:17,1636833977105,0,13/11/2021 20:06:17,68854,2,task-3fjs,,17134596,BLIND,5060921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1280x720,1240x553,,IAT_sex_topics,3,society,,Spreadsheet1,13,2,Screen 2,fixation,fixation,700.1059999999998,,,0,1,0,,,,Spreadsheet1,1,trials,2,,,,,,Biology,right,,,,,science,humanities,17,practice_congruent,practice_congruent
32,1636833977760,13/11/2021 20:06:17,1636833977757,0,13/11/2021 20:06:17,68854,2,task-3fjs,,17134596,BLIND,5060921,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 95.0.4638.69,1280x720,1240x553,,IAT_sex_topics,3,society,,Spreadsheet1,14,1,Screen 1,Zone9,response_keyboard,610.0999999940395,left,1,1,0,0,,,,Spreadsheet1,1,trials,2,,,,,,Arts,left,,,,,science,humanities,27,practice_congruent,practice_congruent
