Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-7bvc,Randomise questionnaire elements?,age,english,english-text,english-quantised,nationality,nationality-text,nationality-quantised,sex,sex-text,sex-quantised,ethnic,ethnic-text,ethnic-quantised,income,income-text,income-quantised,class,class-text,class-quantised,edu,edu-text,edu-quantised,employ,employ-text,employ-quantised,END QUESTIONNAIRE
1,1626436392992,16/07/2021 11:53:12,1626436392892,1,16/07/2021 12:53:12,57003,8,questionnaire-4c1e,,14379258,60d5eedd45dfa0b4306b7ae9,4280543,,complete,,60f172062d7c0609f7ea1196,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1280x720,1280x577,,,,Exp 2_group and demographics,4,booked,No,22,Yes,,1,British,,26,Female,,1,Mixed/multiple ethnic groups,,3,£25 001 – £35 000,,3,Lower-middle,,2,Degree/ Equivalent,,4,Student,,4,34736
1,1626435851287,16/07/2021 11:44:11,1626435851234,1,16/07/2021 12:44:11,57003,8,questionnaire-4c1e,,14378874,586fccd06cb8dd0001a29aec,4280485,,complete,,60f17061408850a77404a444,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1024x1366,1366x917,,,,Exp 2_group and demographics,4,booked,No,37,Yes,,1,British,,26,Female,,1,English/Welsh/Scottish/Northern Irish/British,,1,£75 001 - £85 000,,8,Middle,,3,Degree/ Equivalent,,4,Full-time,,1,49047
1,1626435683183,16/07/2021 11:41:23,1626435684625,1,16/07/2021 12:41:24,57003,8,questionnaire-4c1e,,14378759,5ce1a6648e3cae0001b853be,4280462,,complete,,60f16f5881dab1a424be83a0,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1920x1080,1920x899,,,,Exp 2_group and demographics,4,booked,No,36,Yes,,1,British,,26,Male,,2,English/Welsh/Scottish/Northern Irish/British,,1,£25 001 – £35 000,,3,Working,,1,Degree/ Equivalent,,4,Full-time,,1,29936
1,1626435584722,16/07/2021 11:39:44,1626435587174,1,16/07/2021 12:39:47,57003,8,questionnaire-4c1e,,14378678,5e9f720c9cf52811590037a7,4280452,,complete,,60f16e5428c0cb980ec7c603,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1536x864,1536x731,,,,Exp 2_group and demographics,4,booked,No,22,Yes,,1,English,,69,Female,,1,Mixed/multiple ethnic groups,,3,<£15 000,,1,Lower-middle,,2,Postgraduate degree/ Equivalent,,5,Student,,4,33961
1,1626435892802,16/07/2021 11:44:52,1626435892731,1,16/07/2021 12:44:52,57003,8,questionnaire-4c1e,,14378888,60c283d8d82adfb1f4930352,4280437,,complete,,60f16ebba89d7cee8e1bf400,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 91.0.4472.114,1440x900,1440x733,,,,Exp 2_group and demographics,4,booked,No,42,No,,2,Filipino,,76,Female,,1,Asian/ Asian British,,4,<£15 000,,1,Middle,,3,A-Levels/ Equivalent,,2,Unemployed,,5,135591
1,1626435973254,16/07/2021 11:46:13,1626435972458,1,16/07/2021 12:46:12,57003,8,questionnaire-4c1e,,14378943,60699128f6e0ee08e56e27d7,4280418,,complete,,60f16d1c4894fe5989f8e2bc,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x595,,,,Exp 2_group and demographics,4,booked,No,44,Yes,,1,British,,26,Female,,1,English/Welsh/Scottish/Northern Irish/British,,1,£35 001 - £45 000,,4,Middle,,3,GCSE's/ Equivalent,,1,Part-time,,2,67945
1,1626435152559,16/07/2021 11:32:32,1626435153376,1,16/07/2021 12:32:33,57003,8,questionnaire-4c1e,,14378439,577d9254c6144900014a0083,4280389,,complete,,60f16cfd4894fe5989f8e2b7,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1920x1080,1920x937,,,,Exp 2_group and demographics,4,booked,No,58,Yes,,1,Welsh,,222,Female,,1,English/Welsh/Scottish/Northern Irish/British,,1,£35 001 - £45 000,,4,Working,,1,Degree/ Equivalent,,4,Part-time,,2,54113
1,1626434952883,16/07/2021 11:29:12,1626434952914,1,16/07/2021 12:29:12,57003,8,questionnaire-4c1e,,14378331,5dc6eadc4d2b664e2ce6d319,4280350,,complete,,60f163d712fe14b9ec657040,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1368x912,1368x801,,,,Exp 2_group and demographics,4,booked,No,30,No,,2,Latvian,,115,Female,,1,Other White Background,,2,£35 001 - £45 000,,4,Lower-middle,,2,Degree/ Equivalent,,4,Full-time,,1,41624
1,1626434877803,16/07/2021 11:27:57,1626434876015,1,16/07/2021 12:27:56,57003,8,questionnaire-4c1e,,14378297,5f36df1077c13d13071cec36,4280338,,complete,,60f16ba99d3dbe920f128ea8,computer,Desktop or Laptop,Chromium OS 13816.82.0,Chrome 90.0.4430.218,1366x768,1366x665,,,,Exp 2_group and demographics,4,booked,No,28,Yes,,1,British,,26,Female,,1,Black/African/Caribbean/Black British,,5,£55 001 - £65 000,,6,Working,,1,Postgraduate degree/ Equivalent,,5,Full-time,,1,62560
1,1626434733783,16/07/2021 11:25:33,1626434733046,1,16/07/2021 12:25:33,57003,8,questionnaire-4c1e,,14378215,60d6f0d6545a161dee2fbab0,4280270,,complete,,60f16972bc732f679d846872,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1280x720,1600x762,,,,Exp 2_group and demographics,4,booked,No,53,Yes,,1,British,,26,Female,,1,English/Welsh/Scottish/Northern Irish/British,,1,£15 001 - £25 000,,2,Working,,1,A-Levels/ Equivalent,,2,Part-time,,2,63319
