Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
13,1.62644E+12,16/07/2021 14:04,1.62644E+12,1,16/07/2021 15:04,57004,9,questionnaire-dzij,,14386448,60d5eedd45dfa0b4306b7ae9,4281844,,complete,,60f1909c4e6ab255ab85893d,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1280x720,1263x577,,"Interpersonal Reactivity Index (Davies, 1983)",4,No,PT_3-quantised,3
14,1.62644E+12,16/07/2021 14:04,1.62644E+12,1,16/07/2021 15:04,57004,9,questionnaire-dzij,,14386448,60d5eedd45dfa0b4306b7ae9,4281844,,complete,,60f1909c4e6ab255ab85893d,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1280x720,1263x577,,"Interpersonal Reactivity Index (Davies, 1983)",4,No,EC_4,2
15,1.62644E+12,16/07/2021 14:04,1.62644E+12,1,16/07/2021 15:04,57004,9,questionnaire-dzij,,14386448,60d5eedd45dfa0b4306b7ae9,4281844,,complete,,60f1909c4e6ab255ab85893d,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1280x720,1263x577,,"Interpersonal Reactivity Index (Davies, 1983)",4,No,EC_4-quantised,2
16,1.62644E+12,16/07/2021 14:04,1.62644E+12,1,16/07/2021 15:04,57004,9,questionnaire-dzij,,14386448,60d5eedd45dfa0b4306b7ae9,4281844,,complete,,60f1909c4e6ab255ab85893d,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1280x720,1263x577,,"Interpersonal Reactivity Index (Davies, 1983)",4,No,PT_4,1
17,1.62644E+12,16/07/2021 14:04,1.62644E+12,1,16/07/2021 15:04,57004,9,questionnaire-dzij,,14386448,60d5eedd45dfa0b4306b7ae9,4281844,,complete,,60f1909c4e6ab255ab85893d,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1280x720,1263x577,,"Interpersonal Reactivity Index (Davies, 1983)",4,No,PT_4-quantised,1
18,1.62644E+12,16/07/2021 14:04,1.62644E+12,1,16/07/2021 15:04,57004,9,questionnaire-dzij,,14386448,60d5eedd45dfa0b4306b7ae9,4281844,,complete,,60f1909c4e6ab255ab85893d,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1280x720,1263x577,,"Interpersonal Reactivity Index (Davies, 1983)",4,No,EC_5,1
19,1.62644E+12,16/07/2021 14:04,1.62644E+12,1,16/07/2021 15:04,57004,9,questionnaire-dzij,,14386448,60d5eedd45dfa0b4306b7ae9,4281844,,complete,,60f1909c4e6ab255ab85893d,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1280x720,1263x577,,"Interpersonal Reactivity Index (Davies, 1983)",4,No,EC_5-quantised,1
20,1.62644E+12,16/07/2021 14:04,1.62644E+12,1,16/07/2021 15:04,57004,9,questionnaire-dzij,,14386448,60d5eedd45dfa0b4306b7ae9,4281844,,complete,,60f1909c4e6ab255ab85893d,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1280x720,1263x577,,"Interpersonal Reactivity Index (Davies, 1983)",4,No,EC_6,4
21,1.62644E+12,16/07/2021 14:04,1.62644E+12,1,16/07/2021 15:04,57004,9,questionnaire-dzij,,14386448,60d5eedd45dfa0b4306b7ae9,4281844,,complete,,60f1909c4e6ab255ab85893d,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1280x720,1263x577,,"Interpersonal Reactivity Index (Davies, 1983)",4,No,EC_6-quantised,4
22,1.62644E+12,16/07/2021 14:04,1.62644E+12,1,16/07/2021 15:04,57004,9,questionnaire-dzij,,14386448,60d5eedd45dfa0b4306b7ae9,4281844,,complete,,60f1909c4e6ab255ab85893d,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1280x720,1263x577,,"Interpersonal Reactivity Index (Davies, 1983)",4,No,PT_5,4
23,1.62644E+12,16/07/2021 14:04,1.62644E+12,1,16/07/2021 15:04,57004,9,questionnaire-dzij,,14386448,60d5eedd45dfa0b4306b7ae9,4281844,,complete,,60f1909c4e6ab255ab85893d,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1280x720,1263x577,,"Interpersonal Reactivity Index (Davies, 1983)",4,No,PT_5-quantised,4
24,1.62644E+12,16/07/2021 14:04,1.62644E+12,1,16/07/2021 15:04,57004,9,questionnaire-dzij,,14386448,60d5eedd45dfa0b4306b7ae9,4281844,,complete,,60f1909c4e6ab255ab85893d,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1280x720,1263x577,,"Interpersonal Reactivity Index (Davies, 1983)",4,No,EC_7,4
25,1.62644E+12,16/07/2021 14:04,1.62644E+12,1,16/07/2021 15:04,57004,9,questionnaire-dzij,,14386448,60d5eedd45dfa0b4306b7ae9,4281844,,complete,,60f1909c4e6ab255ab85893d,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1280x720,1263x577,,"Interpersonal Reactivity Index (Davies, 1983)",4,No,EC_7-quantised,4
26,1.62644E+12,16/07/2021 14:04,1.62644E+12,1,16/07/2021 15:04,57004,9,questionnaire-dzij,,14386448,60d5eedd45dfa0b4306b7ae9,4281844,,complete,,60f1909c4e6ab255ab85893d,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1280x720,1263x577,,"Interpersonal Reactivity Index (Davies, 1983)",4,No,PT_6,4
27,1.62644E+12,16/07/2021 14:04,1.62644E+12,1,16/07/2021 15:04,57004,9,questionnaire-dzij,,14386448,60d5eedd45dfa0b4306b7ae9,4281844,,complete,,60f1909c4e6ab255ab85893d,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1280x720,1263x577,,"Interpersonal Reactivity Index (Davies, 1983)",4,No,PT_6-quantised,4
28,1.62644E+12,16/07/2021 14:04,1.62644E+12,1,16/07/2021 15:04,57004,9,questionnaire-dzij,,14386448,60d5eedd45dfa0b4306b7ae9,4281844,,complete,,60f1909c4e6ab255ab85893d,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1280x720,1263x577,,"Interpersonal Reactivity Index (Davies, 1983)",4,No,PT_7,4
29,1.62644E+12,16/07/2021 14:04,1.62644E+12,1,16/07/2021 15:04,57004,9,questionnaire-dzij,,14386448,60d5eedd45dfa0b4306b7ae9,4281844,,complete,,60f1909c4e6ab255ab85893d,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1280x720,1263x577,,"Interpersonal Reactivity Index (Davies, 1983)",4,No,PT_7-quantised,4
30,1.62644E+12,16/07/2021 14:04,1.62644E+12,1,16/07/2021 15:04,57004,9,questionnaire-dzij,,14386448,60d5eedd45dfa0b4306b7ae9,4281844,,complete,,60f1909c4e6ab255ab85893d,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.124,1280x720,1263x577,,"Interpersonal Reactivity Index (Davies, 1983)",4,No,END QUESTIONNAIRE,79146
1,1.62644E+12,16/07/2021 14:07,1.62644E+12,1,16/07/2021 15:07,57004,9,questionnaire-dzij,,14386712,60c347136d0a78b90bbd88e6,4281845,,complete,,60f1909a8807eb88eabe3b85,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1366x768,1366x657,,"Interpersonal Reactivity Index (Davies, 1983)",4,No,BEGIN QUESTIONNAIRE,
2,1.62644E+12,16/07/2021 14:09,1.62644E+12,1,16/07/2021 15:09,57004,9,questionnaire-dzij,,14386712,60c347136d0a78b90bbd88e6,4281845,,complete,,60f1909a8807eb88eabe3b85,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1366x768,1349x657,,"Interpersonal Reactivity Index (Davies, 1983)",4,No, EC_1,3
3,1.62644E+12,16/07/2021 14:09,1.62644E+12,1,16/07/2021 15:09,57004,9,questionnaire-dzij,,14386712,60c347136d0a78b90bbd88e6,4281845,,complete,,60f1909a8807eb88eabe3b85,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1366x768,1349x657,,"Interpersonal Reactivity Index (Davies, 1983)",4,No, EC_1-quantised,3
4,1.62644E+12,16/07/2021 14:09,1.62644E+12,1,16/07/2021 15:09,57004,9,questionnaire-dzij,,14386712,60c347136d0a78b90bbd88e6,4281845,,complete,,60f1909a8807eb88eabe3b85,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1366x768,1349x657,,"Interpersonal Reactivity Index (Davies, 1983)",4,No,PT_1,2
5,1.62644E+12,16/07/2021 14:09,1.62644E+12,1,16/07/2021 15:09,57004,9,questionnaire-dzij,,14386712,60c347136d0a78b90bbd88e6,4281845,,complete,,60f1909a8807eb88eabe3b85,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1366x768,1349x657,,"Interpersonal Reactivity Index (Davies, 1983)",4,No,PT_1-quantised,2
6,1.62644E+12,16/07/2021 14:09,1.62644E+12,1,16/07/2021 15:09,57004,9,questionnaire-dzij,,14386712,60c347136d0a78b90bbd88e6,4281845,,complete,,60f1909a8807eb88eabe3b85,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1366x768,1349x657,,"Interpersonal Reactivity Index (Davies, 1983)",4,No,EC_2,2
7,1.62644E+12,16/07/2021 14:09,1.62644E+12,1,16/07/2021 15:09,57004,9,questionnaire-dzij,,14386712,60c347136d0a78b90bbd88e6,4281845,,complete,,60f1909a8807eb88eabe3b85,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1366x768,1349x657,,"Interpersonal Reactivity Index (Davies, 1983)",4,No,EC_2-quantised,2
8,1.62644E+12,16/07/2021 14:09,1.62644E+12,1,16/07/2021 15:09,57004,9,questionnaire-dzij,,14386712,60c347136d0a78b90bbd88e6,4281845,,complete,,60f1909a8807eb88eabe3b85,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1366x768,1349x657,,"Interpersonal Reactivity Index (Davies, 1983)",4,No,PT_2,4
9,1.62644E+12,16/07/2021 14:09,1.62644E+12,1,16/07/2021 15:09,57004,9,questionnaire-dzij,,14386712,60c347136d0a78b90bbd88e6,4281845,,complete,,60f1909a8807eb88eabe3b85,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1366x768,1349x657,,"Interpersonal Reactivity Index (Davies, 1983)",4,No,PT_2-quantised,4
10,1.62644E+12,16/07/2021 14:09,1.62644E+12,1,16/07/2021 15:09,57004,9,questionnaire-dzij,,14386712,60c347136d0a78b90bbd88e6,4281845,,complete,,60f1909a8807eb88eabe3b85,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1366x768,1349x657,,"Interpersonal Reactivity Index (Davies, 1983)",4,No,EC_3,3
11,1.62644E+12,16/07/2021 14:09,1.62644E+12,1,16/07/2021 15:09,57004,9,questionnaire-dzij,,14386712,60c347136d0a78b90bbd88e6,4281845,,complete,,60f1909a8807eb88eabe3b85,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1366x768,1349x657,,"Interpersonal Reactivity Index (Davies, 1983)",4,No,EC_3-quantised,3
12,1.62644E+12,16/07/2021 14:09,1.62644E+12,1,16/07/2021 15:09,57004,9,questionnaire-dzij,,14386712,60c347136d0a78b90bbd88e6,4281845,,complete,,60f1909a8807eb88eabe3b85,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1366x768,1349x657,,"Interpersonal Reactivity Index (Davies, 1983)",4,No,PT_3,4
13,1.62644E+12,16/07/2021 14:09,1.62644E+12,1,16/07/2021 15:09,57004,9,questionnaire-dzij,,14386712,60c347136d0a78b90bbd88e6,4281845,,complete,,60f1909a8807eb88eabe3b85,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1366x768,1349x657,,"Interpersonal Reactivity Index (Davies, 1983)",4,No,PT_3-quantised,4
14,1.62644E+12,16/07/2021 14:09,1.62644E+12,1,16/07/2021 15:09,57004,9,questionnaire-dzij,,14386712,60c347136d0a78b90bbd88e6,4281845,,complete,,60f1909a8807eb88eabe3b85,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1366x768,1349x657,,"Interpersonal Reactivity Index (Davies, 1983)",4,No,EC_4,3
15,1.62644E+12,16/07/2021 14:09,1.62644E+12,1,16/07/2021 15:09,57004,9,questionnaire-dzij,,14386712,60c347136d0a78b90bbd88e6,4281845,,complete,,60f1909a8807eb88eabe3b85,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1366x768,1349x657,,"Interpersonal Reactivity Index (Davies, 1983)",4,No,EC_4-quantised,3
16,1.62644E+12,16/07/2021 14:09,1.62644E+12,1,16/07/2021 15:09,57004,9,questionnaire-dzij,,14386712,60c347136d0a78b90bbd88e6,4281845,,complete,,60f1909a8807eb88eabe3b85,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1366x768,1349x657,,"Interpersonal Reactivity Index (Davies, 1983)",4,No,PT_4,2
17,1.62644E+12,16/07/2021 14:09,1.62644E+12,1,16/07/2021 15:09,57004,9,questionnaire-dzij,,14386712,60c347136d0a78b90bbd88e6,4281845,,complete,,60f1909a8807eb88eabe3b85,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1366x768,1349x657,,"Interpersonal Reactivity Index (Davies, 1983)",4,No,PT_4-quantised,2
18,1.62644E+12,16/07/2021 14:09,1.62644E+12,1,16/07/2021 15:09,57004,9,questionnaire-dzij,,14386712,60c347136d0a78b90bbd88e6,4281845,,complete,,60f1909a8807eb88eabe3b85,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1366x768,1349x657,,"Interpersonal Reactivity Index (Davies, 1983)",4,No,EC_5,3
19,1.62644E+12,16/07/2021 14:09,1.62644E+12,1,16/07/2021 15:09,57004,9,questionnaire-dzij,,14386712,60c347136d0a78b90bbd88e6,4281845,,complete,,60f1909a8807eb88eabe3b85,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1366x768,1349x657,,"Interpersonal Reactivity Index (Davies, 1983)",4,No,EC_5-quantised,3
20,1.62644E+12,16/07/2021 14:09,1.62644E+12,1,16/07/2021 15:09,57004,9,questionnaire-dzij,,14386712,60c347136d0a78b90bbd88e6,4281845,,complete,,60f1909a8807eb88eabe3b85,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1366x768,1349x657,,"Interpersonal Reactivity Index (Davies, 1983)",4,No,EC_6,4
